Ebeam,x,y,z,Q2,pT,obs,value,stat,syst1,syst2,target,hadron
27.6,0.109,0.46,0.341,2.533,0.11,AUT,0.0039,0.0069,0,0.0054,proton,pi+
27.6,0.106,0.49,0.35,2.53,0.211,AUT,0.0233,0.0073,0,0.0027,proton,pi+
27.6,0.1,0.519,0.355,2.486,0.29,AUT,0.0334,0.0073,0,0.0007,proton,pi+
27.6,0.093,0.549,0.355,2.415,0.37,AUT,0.0594,0.0073,0,0.0017,proton,pi+
27.6,0.086,0.58,0.36,2.342,0.488,AUT,0.0602,0.0057,0,0.0049,proton,pi+
27.6,0.08,0.616,0.388,2.303,0.669,AUT,0.063,0.0073,0,0.0097,proton,pi+
27.6,0.073,0.658,0.453,2.262,0.954,AUT,0.0632,0.0118,0,0.0168,proton,pi+
27.6,0.036,0.707,0.336,1.281,0.489,AUT,0.0385,0.0088,0,0.001,proton,pi+
27.6,0.056,0.569,0.356,1.631,0.409,AUT,0.0264,0.0071,0,0.0017,proton,pi+
27.6,0.076,0.513,0.367,2.017,0.372,AUT,0.0542,0.0078,0,0.0024,proton,pi+
27.6,0.098,0.484,0.376,2.467,0.356,AUT,0.0516,0.007,0,0.0033,proton,pi+
27.6,0.133,0.464,0.379,3.203,0.344,AUT,0.0361,0.0066,0,0.0046,proton,pi+
27.6,0.186,0.449,0.379,4.321,0.339,AUT,0.0531,0.0086,0,0.0064,proton,pi+
27.6,0.275,0.434,0.375,6.179,0.344,AUT,0.0546,0.0118,0,0.0093,proton,pi+
27.6,0.086,0.592,0.234,2.423,0.346,AUT,0.0333,0.005,0,0.0034,proton,pi+
27.6,0.094,0.551,0.303,2.428,0.377,AUT,0.0365,0.0057,0,0.0052,proton,pi+
27.6,0.097,0.528,0.373,2.425,0.403,AUT,0.0348,0.0067,0,0.007,proton,pi+
27.6,0.099,0.514,0.447,2.418,0.429,AUT,0.0463,0.0075,0,0.009,proton,pi+
27.6,0.1,0.504,0.523,2.411,0.453,AUT,0.0577,0.0096,0,0.011,proton,pi+
27.6,0.101,0.494,0.593,2.4,0.465,AUT,0.0623,0.0113,0,0.0128,proton,pi+
27.6,0.103,0.478,0.663,2.385,0.465,AUT,0.0803,0.0132,0,0.0146,proton,pi+
